Brand,TAC,SPECS
XIAOMI,86411006,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48I, India Model, 2024"
XIAOMI,86347806,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48G, Global Model, 2024"
XIAOMI,86102007,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48G, Global Model, 2024"
XIAOMI,86053307,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48G, Global Model, 2024"
XIAOMI,86953607,"XIAOMI POCO X6, Xiaomi 23122PCD1G, Global Model, 2024"
XIAOMI,86936506,"XIAOMI POCO X6, Xiaomi 23122PCD1I, India Model, 2024"
XIAOMI,86908206,"XIAOMI POCO X6, Xiaomi 23122PCD1I, India Model, 2024"
XIAOMI,86783706,"XIAOMI POCO X6, Xiaomi 23122PCD1G, Global Model, 2024"
XIAOMI,86641606,"XIAOMI POCO X6, Xiaomi 23122PCD1I, India Model, 2024"
XIAOMI,86222707,"XIAOMI POCO X6, Xiaomi 23122PCD1I, India Model, 2024"
XIAOMI,86178506,"XIAOMI POCO X6, Xiaomi 23122PCD1G, Global Model, 2024"
XIAOMI,86130307,"XIAOMI POCO X6, Xiaomi 23122PCD1G, Global Model, 2024"
XIAOMI,86566607,"XIAOMI POCO M7 PRO 5G, Xiaomi 2409FPCC4G, Global Model, 2024"
XIAOMI,86235607,"XIAOMI POCO M7 PRO 5G, Xiaomi 2409FPCC4G, Global Model, 2024"
XIAOMI,86943306,"XIAOMI POCO M6 PRO, Xiaomi 2312FPCA6G, Global Model, 2024"
XIAOMI,86908407,"XIAOMI POCO M6 PRO, Xiaomi 2312FPCA6G, Global Model, 2024"
XIAOMI,86758406,"XIAOMI POCO M6 PRO, Xiaomi 2312FPCA6G, Global Model, 2024"
XIAOMI,86207007,"XIAOMI POCO M6 PRO, Xiaomi 2312FPCA6G, Global Model, 2024"
XIAOMI,86453007,"XIAOMI POCO M6 PLUS 5G, Xiaomi 24066PC95I, India Model, 2024"
XIAOMI,86660107,"XIAOMI POCO M6 4G, Xiaomi 2404APC5FI, India Model, 2024"
XIAOMI,86620407,"XIAOMI POCO M6 4G, Xiaomi 2404APC5FI, India Model, 2024"
XIAOMI,86311707,"XIAOMI POCO M6 4G, Xiaomi 2404APC5FI, India Model, 2024"
XIAOMI,86598007,"XIAOMI POCO M6, Xiaomi 2404APC5FG, Global Model, 2024"
XIAOMI,86360007,"XIAOMI POCO M6, Xiaomi 2404APC5FG, Global Model, 2024"
XIAOMI,86106107,"XIAOMI POCO M6, Xiaomi 2404APC5FG, Global Model, 2024"
XIAOMI,86091907,"XIAOMI POCO M6, Xiaomi 2404APC5FG, Global Model, 2024"
POCO,86647607,"XIAOMI POCO C75, Xiaomi 2410FPCC5I, Poco M7 (India Model), 2024, MT D 6020"
POCO,86644907,"XIAOMI POCO C75, Xiaomi 2410FPCC5I, Poco M7 (India Model), 2024, MT D 6020"
XIAOMI,99002112,"XIAOMI MIX FOLD 4, Xiaomi 24072PX77C, China Model, 2024"
XIAOMI,86543007,"XIAOMI MIX FOLD 4, Xiaomi 24072PX77C, China Model, 2024"
XIAOMI,86463107,"XIAOMI MIX FOLD 4, Xiaomi 24072PX77C, China Model, 2024"
XIAOMI,99002102,"XIAOMI MIX FLIP, Xiaomi 2405CPX3DC, China Model, 2024"
XIAOMI,86656807,"XIAOMI MIX FLIP, Xiaomi 2405CPX3DG, Global Model, 2024"
XIAOMI,86616607,"XIAOMI MIX FLIP, Xiaomi 2405CPX3DC, China Model, 2024"
XIAOMI,86610607,"XIAOMI MIX FLIP, Xiaomi 2405CPX3DG, Global Model, 2024"
XIAOMI,86417907,"XIAOMI MIX FLIP, Xiaomi 2405CPX3DC, China Model, 2024"
XIAOMI,86186007,"XIAOMI MIX FLIP, Xiaomi 2405CPX3DC, China Model, 2024"
XIAOMI,86047807,"XIAOMI 15 PRO, Xiaomi 2410DPN6CC, China Model, 2024"
XIAOMI,86844207,"XIAOMI 15 PRO, Xiaomi 2410DPN6CC, China Model, 2024"
XIAOMI,86777607,"XIAOMI 15 PRO, Xiaomi 2410DPN6CC, China Model, 2024"
XIAOMI,86462707,"XIAOMI 15 PRO, Xiaomi 2410DPN6CC, China Model, 2024"
XIAOMI,86322907,"XIAOMI 15 PRO, Xiaomi 2410DPN6CC, China Model, 2024"
XIAOMI,86286407,"XIAOMI 15 PRO, Xiaomi 2410DPN6CC, China Model, 2024"
XIAOMI,86016707,"XIAOMI 15 PRO, Xiaomi 2410DPN6CC, China Model, 2024"
XIAOMI,86008208,"XIAOMI 15, Xiaomi 25057RN09E2024"
XIAOMI,86070808,"XIAOMI 15, Xiaomi 24129PN74C, China Model, 2024"
XIAOMI,86648008,"XIAOMI 15, Xiaomi 24129PN74C, China Model, 2024"
XIAOMI,86784208,"XIAOMI 15, Xiaomi 25057RN09E2024"
XIAOMI,86938008,"XIAOMI 15, Xiaomi 24129PN74C, China Model, 2024"
XIAOMI,86149707,"XIAOMI 15, Xiaomi 24129PN74G, Global Model, 2024"
XIAOMI,86988207,"XIAOMI 15, Xiaomi 24129PN74I, India Model, 2024"
XIAOMI,86901407,"XIAOMI 15, Xiaomi 24129PN74C, China Model, 2024"
XIAOMI,86764507,"XIAOMI 15, Xiaomi 24129PN74I, India Model, 2024"
XIAOMI,86684907,"XIAOMI 15, Xiaomi 24129PN74G, Global Model, 2024"
XIAOMI,86667307,"XIAOMI 15, Xiaomi 24129PN74C, China Model, 2024"
XIAOMI,86632007,"XIAOMI 15, Xiaomi 24129PN74G, Global Model, 2024"
XIAOMI,86505107,"XIAOMI 15, Xiaomi 24129PN74C, China Model, 2024"
XIAOMI,86486807,"XIAOMI 15, Xiaomi 24129PN74G, Global Model, 2024"
XIAOMI,86478307,"XIAOMI 15, Xiaomi 24129PN74I, India Model, 2024"
XIAOMI,86323207,"XIAOMI 15, Xiaomi 24129PN74C, China Model, 2024"
